year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
1975,National League,East,Pittsburgh Pirates,92,69,0.571,.571,0,
1975,National League,East,Philadelphia Phillies,86,76,0.531,.531,0,
1975,National League,East,New York Mets,82,80,0.506,.506,0,
1975,National League,East,St. Louis Cardinals,82,80,0.506,.506,0,
1975,National League,East,Montreal Expos,75,87,0.463,.463,0,
1975,National League,East,Chicago Cubs,75,87,0.463,.463,0,
1975,National League,West,Cincinnati Reds,108,54,0.667,.667,0,
1975,National League,West,Los Angeles Dodgers,88,74,0.543,.543,0,
1975,National League,West,San Francisco Giants,80,81,0.497,.497,0,
1975,National League,West,San Diego Padres,71,91,0.438,.438,0,
1975,National League,West,Atlanta Braves,67,94,0.416,.416,0,
1975,National League,West,Houston Astros,64,97,0.398,.398,0,
