year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
1987,National League,East,St. Louis Cardinals,95,67,0.586,.586,0,
1987,National League,East,New York Mets,92,70,0.568,.568,0,
1987,National League,East,Montreal Expos,91,71,0.562,.562,0,
1987,National League,East,Pittsburgh Pirates,80,82,0.494,.494,0,
1987,National League,East,Philadelphia Phillies,80,82,0.494,.494,0,
1987,National League,East,Chicago Cubs,76,85,0.472,.472,0,
1987,National League,West,San Francisco Giants,90,72,0.556,.556,0,
1987,National League,West,Cincinnati Reds,84,78,0.519,.519,0,
1987,National League,West,Houston Astros,76,86,0.469,.469,0,
1987,National League,West,Los Angeles Dodgers,73,89,0.451,.451,0,
1987,National League,West,Atlanta Braves,69,92,0.429,.429,0,
1987,National League,West,San Diego Padres,65,97,0.401,.401,0,
