year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
1994,National League,East,Montreal Expos,74,40,0.649,.649,0,
1994,National League,East,Atlanta Braves,68,46,0.596,.596,0,
1994,National League,East,New York Mets,55,58,0.487,.487,0,
1994,National League,East,Philadelphia Phillies,54,61,0.47,.470,0,
1994,National League,East,Florida Marlins,51,64,0.443,.443,0,
1994,National League,Central,Cincinnati Reds,66,48,0.579,.579,0,
1994,National League,Central,Houston Astros,66,49,0.574,.574,0,
1994,National League,Central,St. Louis Cardinals,53,61,0.465,.465,0,
1994,National League,Central,Pittsburgh Pirates,53,61,0.465,.465,0,
1994,National League,Central,Chicago Cubs,49,64,0.434,.434,0,
1994,National League,West,Los Angeles Dodgers,58,56,0.509,.509,0,
1994,National League,West,San Francisco Giants,55,60,0.478,.478,0,
1994,National League,West,Colorado Rockies,53,64,0.453,.453,0,
1994,National League,West,San Diego Padres,47,70,0.402,.402,0,
