year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
1984,National League,League,Chicago Cubs,96,65,0.596,.596,0,
1984,National League,League,New York Mets,90,72,0.556,.556,0,
1984,National League,League,St. Louis Cardinals,84,78,0.519,.519,0,
1984,National League,League,Philadelphia Phillies,81,81,0.5,.500,0,
1984,National League,League,Montreal Expos,78,83,0.484,.484,0,
1984,National League,League,Pittsburgh Pirates,75,87,0.463,.463,0,
1984,National League,League,San Diego Padres,92,70,0.568,.568,0,
1984,National League,League,Houston Astros,80,82,0.494,.494,0,
1984,National League,League,Atlanta Braves,80,82,0.494,.494,0,
1984,National League,League,Los Angeles Dodgers,79,83,0.488,.488,0,
1984,National League,League,Cincinnati Reds,70,92,0.432,.432,0,
1984,National League,League,San Francisco Giants,66,96,0.407,.407,0,
