year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
1969,American League,League,Baltimore Orioles,109,53,0.673,.673,0,
1969,American League,League,Detroit Tigers,90,72,0.556,.556,0,
1969,American League,League,Boston Red Sox,87,75,0.537,.537,0,
1969,American League,League,Washington Senators,86,76,0.531,.531,0,
1969,American League,League,New York Yankees,80,81,0.497,.497,0,
1969,American League,League,Cleveland Indians,62,99,0.385,.385,0,
1969,American League,League,Minnesota Twins,97,65,0.599,.599,0,
1969,American League,League,Oakland Athletics,88,74,0.543,.543,0,
1969,American League,League,California Angels,71,91,0.438,.438,0,
1969,American League,League,Kansas City Royals,69,93,0.426,.426,0,
1969,American League,League,Chicago White Sox,68,94,0.42,.420,0,
1969,American League,League,Seattle Pilots,64,98,0.395,.395,0,
