name,url,team,team_url,year,league,statistic,value,stat_type,rank
J.P. Crawford,https://www.baseball-almanac.com/players/player.php?p=crawfjp01,Seattle Mariners,,2023,American League,Base on Balls,94,player,1
Yandy Díaz,https://www.baseball-almanac.com/players/player.php?p=diazya01,Tampa Bay Rays,,2023,American League,Batting Average,.330,player,1
Corey Seager,https://www.baseball-almanac.com/players/player.php?p=seageco01,Texas Rangers,,2023,American League,Doubles,42,player,1
Marcus Semien,https://www.baseball-almanac.com/players/player.php?p=semiema01,Texas Rangers,,2023,American League,Hits,185,player,1
Shohei Ohtani,https://www.baseball-almanac.com/players/player.php?p=ohtansh01,Los Angeles Angels,,2023,American League,Home Runs,44,player,1
Shohei Ohtani,https://www.baseball-almanac.com/players/player.php?p=ohtansh01,Los Angeles Angels,,2023,American League,On Base Percentage,.412,player,1
Kyle Tucker,https://www.baseball-almanac.com/players/player.php?p=tuckeky01,Houston Astros,,2023,American League,RBI,112,player,1
Marcus Semien,https://www.baseball-almanac.com/players/player.php?p=semiema01,Texas Rangers,,2023,American League,Runs,122,player,1
Shohei Ohtani,https://www.baseball-almanac.com/players/player.php?p=ohtansh01,Los Angeles Angels,,2023,American League,Slugging Average,.654,player,1
Esteury Ruiz,https://www.baseball-almanac.com/players/player.php?p=ruizes01,Oakland Athletics,,2023,American League,Stolen Bases,67,player,1
Shohei Ohtani,https://www.baseball-almanac.com/players/player.php?p=ohtansh01,Los Angeles Angels,,2023,American League,Total Bases,325,player,1
Bobby Witt Jr.,https://www.baseball-almanac.com/players/player.php?p=wittbo02,Kansas City Royals,,2023,American League,Triples,11,player,1
Jordan Lyles,https://www.baseball-almanac.com/players/player.php?p=lylesjo01,Kansas City Royals,,2023,American League,Complete Games,3,pitcher,1
Gerrit Cole,https://www.baseball-almanac.com/players/player.php?p=colege01,New York Yankees,,2023,American League,ERA,2.63,pitcher,1
Matt Brash,https://www.baseball-almanac.com/players/player.php?p=brashma01,Seattle Mariners,,2023,American League,Games,78,pitcher,1
Emmanuel Clase,https://www.baseball-almanac.com/players/player.php?p=claseem01,Cleveland Guardians,,2023,American League,Saves,44,pitcher,1
Gerrit Cole,https://www.baseball-almanac.com/players/player.php?p=colege01,New York Yankees,,2023,American League,Shutouts,2,pitcher,1
Framber Valdez,https://www.baseball-almanac.com/players/player.php?p=valdefr01,Houston Astros,,2023,American League,Shutouts,2,pitcher,1
Kevin Gausman,https://www.baseball-almanac.com/players/player.php?p=gausmke01,Toronto Blue Jays,,2023,American League,Strikeouts,237,pitcher,1
Gerrit Cole,https://www.baseball-almanac.com/players/player.php?p=colege01,New York Yankees,,2023,American League,Winning Percentage,.789,pitcher,1
Chris Bassitt,https://www.baseball-almanac.com/players/player.php?p=bassich01,Toronto Blue Jays,,2023,American League,Wins,16,pitcher,1
Zach Eflin,https://www.baseball-almanac.com/players/player.php?p=eflinza01,Tampa Bay Rays,,2023,American League,Wins,16,pitcher,1
