year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
1982,National League,League,St. Louis Cardinals,92,70,0.568,.568,0,
1982,National League,League,Philadelphia Phillies,89,73,0.549,.549,0,
1982,National League,League,Montreal Expos,86,76,0.531,.531,0,
1982,National League,League,Pittsburgh Pirates,84,78,0.519,.519,0,
1982,National League,League,Chicago Cubs,73,89,0.451,.451,0,
1982,National League,League,New York Mets,65,97,0.401,.401,0,
1982,National League,League,Atlanta Braves,89,73,0.549,.549,0,
1982,National League,League,Los Angeles Dodgers,88,74,0.543,.543,0,
1982,National League,League,San Francisco Giants,87,75,0.537,.537,0,
1982,National League,League,San Diego Padres,81,81,0.5,.500,0,
1982,National League,League,Houston Astros,77,85,0.475,.475,0,
1982,National League,League,Cincinnati Reds,61,101,0.377,.377,0,
