year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
2021,National League,League,Atlanta Braves,88,73,0.547,0,0,
2021,National League,League,Philadelphia Phillies,82,80,0.506,0,0,
2021,National League,League,New York Mets,77,85,0.475,0,0,
2021,National League,League,Miami Marlins,67,95,0.414,0,0,
2021,National League,League,Washington Nationals,65,97,0.401,0,0,
2021,National League,League,Milwaukee Brewers,95,67,0.586,0,0,
2021,National League,League,St. Louis Cardinals,90,72,0.556,0,0,
2021,National League,League,Cincinnati Reds,83,79,0.512,0,0,
2021,National League,League,Chicago Cubs,71,91,0.438,0,0,
2021,National League,League,Pittsburgh Pirates,61,101,0.377,0,0,
2021,National League,League,San Francisco Giants,107,55,0.66,0,0,
2021,National League,League,Los Angeles Dodgers,106,56,0.654,0,0,
2021,National League,League,San Diego Padres,79,83,0.488,0,0,
2021,National League,League,Colorado Rockies,74,87,0.46,0,0,
2021,National League,League,Arizona Diamondbacks,52,110,0.321,0,0,
