year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
2002,National League,League,Atlanta Braves,101,59,0.631,.631,0,
2002,National League,League,Montreal Expos,83,79,0.512,.512,0,
2002,National League,League,Philadelphia Phillies,80,81,0.497,.497,0,
2002,National League,League,Florida Marlins,79,83,0.488,.488,0,
2002,National League,League,New York Mets,75,86,0.466,.466,0,
2002,National League,League,St. Louis Cardinals,97,65,0.599,.599,0,
2002,National League,League,Houston Astros,84,78,0.519,.519,0,
2002,National League,League,Cincinnati Reds,78,84,0.481,.481,0,
2002,National League,League,Pittsburgh Pirates,72,89,0.447,.447,0,
2002,National League,League,Chicago Cubs,67,95,0.414,.414,0,
2002,National League,League,Milwaukee Brewers,56,106,0.346,.346,0,
2002,National League,League,Arizona Diamondbacks,98,64,0.605,.605,0,
2002,National League,League,San Francisco Giants,95,66,0.59,.590,0,
2002,National League,League,Los Angeles Dodgers,92,70,0.568,.568,0,
2002,National League,League,Colorado Rockies,73,89,0.451,.451,0,
2002,National League,League,San Diego Padres,66,96,0.407,.407,0,
