2000_national_leagueteam_standings,year,league,2001_national_leagueteam_standings,2002_national_leagueteam_standings,2003_national_leagueteam_standings,2004_national_leagueteam_standings,2005_national_leagueteam_standings,2006_national_league_standings2006_allstar_game_2006_nl_team_standings_2006_world_series,2007_national_league_standings2007_allstar_game_2007_nl_team_standings_2007_world_series,2008_national_league_standings2008_allstar_game_2008_nl_team_standings_2008_world_series,2009_national_leagueteam_standings,2010_national_leagueteam_standings,2011_national_leagueteam_standings,2012_national_league_standings2012_allstar_game_2012_team_standings_2012_world_series,2013_national_leagueteam_standings,2014_national_league_team_standings2014_allstar_game_team_standings_2014_world_series,2015_national_leagueteam_standings,2016_national_leagueteam_standings,2017_national_leaguefinal_team_standings,2018_national_league_team_standings2018_allstar_game_2018_team_standings_2018_world_series,2019_national_leagueteam_standings,2020_national_league_team_standings2020_allstar_game_2020_team_standings_2020_world_series,2021_national_league_team_standings2021_allstar_game_2021_team_standings_2021_world_series,2022_national_league_team_standings2022_allstar_game_2022_team_standings_2022_world_series,2023_national_league_team_standings2023_allstar_game_2023_team_standings_2023_world_series,2024_national_league_team_standings2024_allstar_game_2024_team_standings_2024_world_series
,2011,National,,,,,,,,,,,New York Mets,,,,,,,,,,,,,
,2011,National,,,,,,,,,,,Washington Nationals,,,,,,,,,,,,,
,2011,National,,,,,,,,,,,Atlanta Braves,,,,,,,,,,,,,
,2011,National,,,,,,,,,,,Colorado Rockies,,,,,,,,,,,,,
,2011,National,,,,,,,,,,,Los Angeles Dodgers,,,,,,,,,,,,,
,2011,National,,,,,,,,,,,San Francisco Giants,,,,,,,,,,,,,
,2011,National,,,,,,,,,,,East,,,,,,,,,,,,,
,2011,National,,,,,,,,,,,West,,,,,,,,,,,,,
,2011,National,,,,,,,,,,,Houston Astros,,,,,,,,,,,,,
,2011,National,,,,,,,,,,,Philadelphia Phillies,,,,,,,,,,,,,
,2012,National,,,,,,,,,,,,2012 National League Final Standings,,,,,,,,,,,,
,2012,National,,,,,,,,,,,,West,,,,,,,,,,,,
,2012,National,,,,,,,,,,,,San Francisco Giants,,,,,,,,,,,,
,2012,National,,,,,,,,,,,,Los Angeles Dodgers,,,,,,,,,,,,
,2012,National,,,,,,,,,,,,Miami Marlins,,,,,,,,,,,,
,2012,National,,,,,,,,,,,,Milwaukee Brewers,,,,,,,,,,,,
,2012,National,,,,,,,,,,,,Central,,,,,,,,,,,,
,2012,National,,,,,,,,,,,,Cincinnati Reds,,,,,,,,,,,,
,2012,National,,,,,,,,,,,,St. Louis Cardinals,,,,,,,,,,,,
,2012,National,,,,,,,,,,,,New York Mets,,,,,,,,,,,,
,2012,National,,,,,,,,,,,,Philadelphia Phillies,,,,,,,,,,,,
,2012,National,,,,,,,,,,,,Atlanta Braves,,,,,,,,,,,,
,2012,National,,,,,,,,,,,,Washington Nationals,,,,,,,,,,,,
,2012,National,,,,,,,,,,,,East,,,,,,,,,,,,
,2012,National,,,,,,,,,,,,Pittsburgh Pirates,,,,,,,,,,,,
,2012,National,,,,,,,,,,,,Chicago Cubs,,,,,,,,,,,,
,2012,National,,,,,,,,,,,,Houston Astros,,,,,,,,,,,,
,2012,National,,,,,,,,,,,,San Diego Padres,,,,,,,,,,,,
,2012,National,,,,,,,,,,,,Colorado Rockies,,,,,,,,,,,,
,2012,National,,,,,,,,,,,,N.L.,,,,,,,,,,,,
,2012,National,,,,,,,,,,,,Arizona Diamondbacks,,,,,,,,,,,,
,2013,National,,,,,,,,,,,,,New York Mets,,,,,,,,,,,
,2013,National,,,,,,,,,,,,,Washington Nationals,,,,,,,,,,,
